Date,Wallet,Type,"Category name",Amount,Currency,Note,Labels,Author
2024-04-25T04:09:26+00:00,Operación,Expense,Servicios,-2769.00000000,MXN,CFE,CFE,"Cerrada Amores"
2024-05-01T16:08:03+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-05,,"Cerrada Amores"
2024-05-01T17:54:44+00:00,Operación,Expense,Seguridad,-19500.00000000,MXN,SESPATE,,"Cerrada Amores"
2024-05-01T18:29:00+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-05,,"Cerrada Amores"
2024-05-01T18:29:34+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-05,,"Cerrada Amores"
2024-05-01T18:32:15+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-05,,"Cerrada Amores"
2024-05-01T19:45:55+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-05,,"Cerrada Amores"
2024-05-01T22:20:38+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-05,,"Cerrada Amores"
2024-05-01T22:20:54+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-05,,"Cerrada Amores"
2024-05-17T19:47:03+00:00,Operación,Expense,Servicios,-500.00000000,MXN,"Recolección de basura",,"Cerrada Amores"
2024-05-19T03:46:15+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2023-12,,"Cerrada Amores"
2024-05-19T03:46:41+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2023-12,,"Cerrada Amores"
2024-05-19T19:46:04+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-06,,"Cerrada Amores"
2024-05-19T19:46:10+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-07,,"Cerrada Amores"
2024-05-19T19:46:15+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-08,,"Cerrada Amores"
2024-05-19T19:46:21+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-09,,"Cerrada Amores"
2024-05-19T19:46:27+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-10,,"Cerrada Amores"
2024-05-19T19:46:33+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-11,,"Cerrada Amores"
2024-05-19T19:46:37+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-12,,"Cerrada Amores"
2024-05-19T19:47:37+00:00,Operación,Expense,Servicios,-389.00000000,MXN,TELMEX,,"Cerrada Amores"
2024-05-28T19:36:11+00:00,Operación,Expense,Servicios,-2570.00000000,MXN,"SIESA - Mantenimiento Elevador",,"Cerrada Amores"
2024-05-30T00:29:36+00:00,Operación,Expense,Deuda,-4500.00000000,MXN,Pérdida,,"Cerrada Amores"
2024-06-01T15:26:38+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-06,,"Cerrada Amores"
2024-06-01T17:46:31+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-06,,"Cerrada Amores"
2024-06-01T17:46:41+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-06,,"Cerrada Amores"
2024-06-01T17:47:02+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-06,,"Cerrada Amores"
2024-06-02T00:12:08+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-06,,"Cerrada Amores"
2024-06-02T00:13:20+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-06,,"Cerrada Amores"
2024-06-02T00:13:43+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-06,,"Cerrada Amores"
2024-06-05T17:39:59+00:00,Operación,Expense,Servicios,-108.00000000,MXN,Gas,,"Cerrada Amores"
2024-06-07T17:39:06+00:00,Operación,Expense,Seguridad,-19500.00000000,MXN,"SESPATE Mayo",,"Cerrada Amores"
2024-06-08T00:08:40+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-01,,"Cerrada Amores"
2024-06-08T00:11:31+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-01,,"Cerrada Amores"
2024-06-08T00:11:37+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-02,,"Cerrada Amores"
2024-06-08T00:12:56+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-01,,"Cerrada Amores"
2024-06-10T00:10:04+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2023-12,,"Cerrada Amores"
2024-06-18T16:19:26+00:00,Operación,Expense,Servicios,-500.00000000,MXN,"Recolección de basura",,"Cerrada Amores"
2024-06-19T16:18:37+00:00,Operación,Expense,Servicios,-2570.00000000,MXN,"SIESA - Mantenimiento Elevador",,"Cerrada Amores"
2024-06-26T15:05:48+00:00,Operación,Expense,Servicios,-399.00000000,MXN,TELMEX,,"Cerrada Amores"
2024-06-26T21:28:17+00:00,Operación,Expense,Servicios,-2836.00000000,MXN,CFE,,"Cerrada Amores"
2024-06-29T19:49:45+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-04,,"Cerrada Amores"
2024-06-29T19:49:54+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-05,,"Cerrada Amores"
2024-06-29T19:50:06+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-06,,"Cerrada Amores"
2024-07-01T15:06:42+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-07,,"Cerrada Amores"
2024-07-01T16:06:10+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-07,,"Cerrada Amores"
2024-07-01T16:06:29+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-07,,"Cerrada Amores"
2024-07-01T16:06:44+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-07,,"Cerrada Amores"
2024-07-01T16:07:40+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-07,,"Cerrada Amores"
2024-07-01T18:46:31+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-07,,"Cerrada Amores"
2024-07-01T19:02:28+00:00,Operación,"Incoming Transfer",,1500.00000000,MXN,2024-07,,"Cerrada Amores"
2024-07-01T21:43:10+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-07,,"Cerrada Amores"
2024-07-01T21:50:56+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-07,,"Cerrada Amores"
2024-07-02T19:00:52+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-01,,"Cerrada Amores"
2024-07-02T19:01:02+00:00,Operación,"Incoming Transfer",,2000.00000000,MXN,2024-02,,"Cerrada Amores"
